population,accession,rank,minus_80_quality,freeze_dried_quality,silica_quality,ath_tube_count,chi_tube_count,dve_tube_count,cytometrized
LECT-A,LECT-A-03,3.6,0,2,4,12,12,18,false
LECT-A,LECT-A-03,3.6,0,2,4,12,12,18,false
LECT-A,LECT-A-03,3.6,0,2,4,12,12,18,false
LECT-A,LECT-A-04,3.6,0,2,4,12,12,18,false
LECT-A,LECT-A-04,3.6,0,2,4,12,12,18,false
LECT-A,LECT-A-06,2.8,0,1,4,12,12,18,false
LECT-A,LECT-A-06,2.8,0,1,4,12,12,18,false
LECT-A,LECT-A-06,2.8,0,1,4,12,12,18,false
LECT-A,LECT-A-07,2.8,0,1,4,12,12,18,false
LECT-A,LECT-A-07,2.8,0,1,4,12,12,18,false
LECT-A,LECT-A-07,2.8,0,1,4,12,12,18,false
LECT-A,LECT-A-07,2.8,0,1,4,12,12,18,false
BELL-A,BELL-A-02,4.2,0,4,2,13,7,19,false
BELL-A,BELL-A-02,4.2,0,4,2,13,7,19,false
CINT-B,CINT-B-03,4.2,0,4,2,20,14,17,false
CINT-B,CINT-B-03,4.2,0,4,2,20,14,17,false
CINT-B,CINT-B-03,4.2,0,4,2,20,14,17,false
MONTM-A,MONTM-A-01,0.0,0,0,0,11,0,10,false
BELL-A,BELL-A-09,4.7,0,4,3,13,7,19,false
BELL-A,BELL-A-09,4.7,0,4,3,13,7,19,false
BELL-A,BELL-A-09,4.7,0,4,3,13,7,19,false
CERN-B,CERN-B-02,2.0,0,0,4,11,9,19,false
CERN-B,CERN-B-02,2.0,0,0,4,11,9,19,false
CERN-B,CERN-B-11,5.2,0,4,4,11,9,19,false
CERN-B,CERN-B-11,5.2,0,4,4,11,9,19,false
LANT-D,LANT-D-02,2.6,0,2,2,18,15,15,false
LANT-D,LANT-D-02,2.6,0,2,2,18,15,15,false
LANT-D,LANT-D-02,2.6,0,2,2,18,15,15,false
LANT-D,LANT-D-07,2.8,0,1,4,18,15,15,false
LANT-D,LANT-D-07,2.8,0,1,4,18,15,15,false
LANT-D,LANT-D-07,2.8,0,1,4,18,15,15,false
CINT-B,CINT-B-02,2.8,0,1,4,20,14,17,false
CINT-B,CINT-B-02,2.8,0,1,4,20,14,17,false
CINT-B,CINT-B-07,2.8,0,1,4,20,14,17,false
CINT-B,CINT-B-07,2.8,0,1,4,20,14,17,false
CERN-B,CERN-B-01,1.8,0,1,2,11,9,19,false
CINT-B,CINT-B-06,2.0,0,0,4,20,14,17,false
CINT-B,CINT-B-10,2.8,0,1,4,20,14,17,false
LANT-D,LANT-D-03,2.0,0,0,4,18,15,15,false
LANT-D,LANT-D-08,2.8,0,1,4,18,15,15,false
