Sample_ID,Identification,Freezer,Rack,Box,Position,Source,Source_number,Organ/tissue,Site/Population,Lat,Long,Curator,Year,Wild or Lab,Duplicate,Description
ME_P.037,Pseudomonas viridiflava,Z-SCI,5,21,1,Arabidopsis thaliana,14,,Michigan Extension,"42°5'33.72""N","86°21'22.76""W",Luke Barrett,4/22/08,W,,
ME_P.038,Xanthomonas campestris,Z-SCI,5,21,2,Arabidopsis thaliana,14,,Michigan Extension,"42°5'33.72""N","86°21'22.76""W",Luke Barrett,4/22/08,W,Duplicate Box 49+54?,
ME_P.039,Pseudomonas viridiflava,Z-SCI,5,21,3,Arabidopsis thaliana,15,,Michigan Extension,"42°5'33.72""N","86°21'22.76""W",Luke Barrett,4/22/08,W,,
ME_P.040,Xanthomonas campestris,Z-SCI,5,21,4,Arabidopsis thaliana,15,,Michigan Extension,"42°5'33.72""N","86°21'22.76""W",Luke Barrett,4/22/08,W,Duplicate Box 49+54?,
ME_P.041,Pseudomonas viridiflava,Z-SCI,5,21,5,Arabidopsis thaliana,16,,Michigan Extension,"42°5'33.72""N","86°21'22.76""W",Luke Barrett,4/22/08,W,,
ME_P.042,Xanthomonas campestris,Z-SCI,5,21,6,Arabidopsis thaliana,16,,Michigan Extension,"42°5'33.72""N","86°21'22.76""W",Luke Barrett,4/22/08,W,Duplicate Box 49+54?,
ME_P.043,Curtobacterium,Z-SCI,5,21,7,Arabidopsis thaliana,16,,Michigan Extension,"42°5'33.72""N","86°21'22.76""W",Luke Barrett,4/22/08,W,,
ME_P.044,Pseudomonas fluorescens,Z-SCI,5,21,8,Arabidopsis thaliana,17,,Michigan Extension,"42°5'33.72""N","86°21'22.76""W",Luke Barrett,4/22/08,W,,
ME_P.045,Curtobacterium,Z-SCI,5,21,9,Arabidopsis thaliana,17,,Michigan Extension,"42°5'33.72""N","86°21'22.76""W",Luke Barrett,4/22/08,W,,
ME_P.046,Pseudomonas syringae,Z-SCI,5,21,10,Arabidopsis thaliana,17,,Michigan Extension,"42°5'33.72""N","86°21'22.76""W",Luke Barrett,4/22/08,W,Duplicate Box 46+58?,
ME_P.047,Pseudomonas sp (fluorescens like),Z-SCI,5,21,11,Arabidopsis thaliana,17,,Michigan Extension,"42°5'33.72""N","86°21'22.76""W",Luke Barrett,4/22/08,W,Duplicate Box 46?,
ME_P.048,Curtobacterium,Z-SCI,5,21,12,Arabidopsis thaliana,17,,Michigan Extension,"42°5'33.72""N","86°21'22.76""W",Luke Barrett,4/22/08,W,,
ME_P.049,Pedobacter cryoconitis,Z-SCI,5,21,13,Arabidopsis thaliana,17,,Michigan Extension,"42°5'33.72""N","86°21'22.76""W",Luke Barrett,4/22/08,W,,
ME_P.050,Pseudomonas viridiflava,Z-SCI,5,21,14,Arabidopsis thaliana,18,,Michigan Extension,"42°5'33.72""N","86°21'22.76""W",Luke Barrett,4/22/08,W,,
ME_P.051,Xanthomonas campestris,Z-SCI,5,21,15,Arabidopsis thaliana,18,,Michigan Extension,"42°5'33.72""N","86°21'22.76""W",Luke Barrett,4/22/08,W,Duplicate Box 50+54?,
ME_P.052,Pseudomonas viridiflava,Z-SCI,5,21,16,Arabidopsis thaliana,19,,Michigan Extension,"42°5'33.72""N","86°21'22.76""W",Luke Barrett,4/22/08,W,,
ME_P.053,Curtobacterium,Z-SCI,5,21,17,Arabidopsis thaliana,19,,Michigan Extension,"42°5'33.72""N","86°21'22.76""W",Luke Barrett,4/22/08,W,,
ME_P.054,Agreia pratensis,Z-SCI,5,21,18,Arabidopsis thaliana,19,,Michigan Extension,"42°5'33.72""N","86°21'22.76""W",Luke Barrett,4/22/08,W,,
ME_P.055,Pseudomonas viridiflava,Z-SCI,5,21,19,Arabidopsis thaliana,20,,Michigan Extension,"42°5'33.72""N","86°21'22.76""W",Luke Barrett,4/22/08,W,,
ME_P.056,Pseudomonas viridiflava,Z-SCI,5,21,20,Arabidopsis thaliana,20,,Michigan Extension,"42°5'33.72""N","86°21'22.76""W",Luke Barrett,4/22/08,W,,
ME_P.057,Pseudomonas sp (graminis),Z-SCI,5,21,21,Arabidopsis thaliana,20,,Michigan Extension,"42°5'33.72""N","86°21'22.76""W",Luke Barrett,4/22/08,W,Duplicate Box 46?,
ME_P.058,Curtobacterium,Z-SCI,5,21,22,Arabidopsis thaliana,21,,Michigan Extension,"42°5'33.72""N","86°21'22.76""W",Luke Barrett,4/22/08,W,,
ME_P.059,Pseudomonas viridiflava,Z-SCI,5,21,23,Arabidopsis thaliana,21,,Michigan Extension,"42°5'33.72""N","86°21'22.76""W",Luke Barrett,4/22/08,W,,
,empty,Z-SCI,5,21,24,,21,,,,,,,,,
ME_P.061,Pseudomonas viridiflava,Z-SCI,5,21,25,Arabidopsis thaliana,22,,Michigan Extension,"42°5'33.72""N","86°21'22.76""W",Luke Barrett,4/22/08,W,,
