Sample_ID,Identification,Freezer,Rack,Box,Position,Source,Source_number,Organ/tissue,Site/Population,Lat,Long,Curator,Year,Wild or Lab,Comment,Duplicate
RM_P.11,Pseudomonas viridiflava,Z-SCI,9,41,1,Arabidopsis thaliana,6,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.12,,Z-SCI,9,41,2,Arabidopsis thaliana,6,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.13,,Z-SCI,9,41,3,Arabidopsis thaliana,8,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.14,,Z-SCI,9,41,4,Arabidopsis thaliana,8,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
,empty,Z-SCI,9,41,5,,,,,,,,,,,
RM_P.16,Pseudomonas syringae,Z-SCI,9,41,6,Arabidopsis thaliana,9,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,Duplicate Box 52?,
RM_P.17,Pseudomonas viridiflava,Z-SCI,9,41,7,Arabidopsis thaliana,9,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.18,Pseudomonas viridiflava,Z-SCI,9,41,8,Arabidopsis thaliana,10,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.19,Pseudomonas viridiflava,Z-SCI,9,41,9,Arabidopsis thaliana,10,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.20,Pseudomonas syringae,Z-SCI,9,41,10,Arabidopsis thaliana,12,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,Duplicate Box 52?,
RM_P.21,,Z-SCI,9,41,11,Arabidopsis thaliana,13,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.22,,Z-SCI,9,41,12,Arabidopsis thaliana,13,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.23,Pseudomonas viridiflava,Z-SCI,9,41,13,Arabidopsis thaliana,13,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.24,Pseudomonas sp (fluorescens like),Z-SCI,9,41,14,Arabidopsis thaliana,13,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,Duplicate Box 51?,
RM_P.25,Pseudomonas sp (fluorescens like),Z-SCI,9,41,15,Arabidopsis thaliana,13,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,Duplicate Box 51?,
RM_P.26,Pseudomonas sp (fluorescens like),Z-SCI,9,41,16,Arabidopsis thaliana,14,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,Duplicate Box 51?,
RM_P.27,,Z-SCI,9,41,17,Arabidopsis thaliana,14,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.28,Pseudomonas viridiflava,Z-SCI,9,41,18,Arabidopsis thaliana,14,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.29,,Z-SCI,9,41,19,Arabidopsis thaliana,15,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.30,Pseudomonas syringae,Z-SCI,9,41,20,Arabidopsis thaliana,15,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,Duplicate Box 52?,
RM_P.31,Pseudomonas viridiflava,Z-SCI,9,41,21,Arabidopsis thaliana,15,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.32,Pseudomonas viridiflava,Z-SCI,9,41,22,Arabidopsis thaliana,17,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.33,Pseudomonas viridiflava,Z-SCI,9,41,23,Arabidopsis thaliana,18,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.34,Pseudomonas viridiflava,Z-SCI,9,41,24,Arabidopsis thaliana,18,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.35,Pseudomonas sp (fluorescens like),Z-SCI,9,41,25,Arabidopsis thaliana,21,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,Duplicate Box 51?,
RM_P.36,Pseudomonas viridiflava,Z-SCI,9,41,26,Arabidopsis thaliana,21,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.37,Pseudomonas viridiflava,Z-SCI,9,41,27,Arabidopsis thaliana,21,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.38,,Z-SCI,9,41,28,Arabidopsis thaliana,21,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.39,,Z-SCI,9,41,29,Arabidopsis thaliana,23,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.40,Pseudomonas viridiflava,Z-SCI,9,41,30,Arabidopsis thaliana,25,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.41,Pseudomonas syringae,Z-SCI,9,41,31,Arabidopsis thaliana,27,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,Duplicate Box 52?,
RM_P.42,Pseudomonas viridiflava,Z-SCI,9,41,32,Arabidopsis thaliana,27,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.43,Pseudomonas viridiflava,Z-SCI,9,41,33,Arabidopsis thaliana,27,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.44,Pseudomonas sp (fluorescens like),Z-SCI,9,41,34,Arabidopsis thaliana,28,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,Duplicate Box 51?,
RM_P.45,Pseudomonas viridiflava,Z-SCI,9,41,35,Arabidopsis thaliana,28,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.46,,Z-SCI,9,41,36,Arabidopsis thaliana,28,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.47,,Z-SCI,9,41,37,Arabidopsis thaliana,29,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.48,,Z-SCI,9,41,38,Arabidopsis thaliana,30,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.49,,Z-SCI,9,41,39,Arabidopsis thaliana,31,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.50,,Z-SCI,9,41,40,Arabidopsis thaliana,31,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.51,,Z-SCI,9,41,41,Arabidopsis thaliana,31,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.52,Pseudomonas syringae,Z-SCI,9,41,42,Arabidopsis thaliana,32,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,Duplicate Box 52?,
RM_P.53,,Z-SCI,9,41,43,Arabidopsis thaliana,32,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.54,Burkholderia sp.,Z-SCI,9,41,44,Arabidopsis thaliana,33,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.55,,Z-SCI,9,41,45,Arabidopsis thaliana,33,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.56,,Z-SCI,9,41,46,Arabidopsis thaliana,33,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,Duplicate Box 52?,
RM_P.57,,Z-SCI,9,41,47,Arabidopsis thaliana,36,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.58,,Z-SCI,9,41,48,Arabidopsis thaliana,36,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.59,,Z-SCI,9,41,49,Arabidopsis thaliana,36,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.60,,Z-SCI,9,41,50,Arabidopsis thaliana,36,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.61,,Z-SCI,9,41,51,Arabidopsis thaliana,37,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.62,,Z-SCI,9,41,52,Arabidopsis thaliana,37,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,Duplicate Box 52?,
RM_P.63,,Z-SCI,9,41,53,Arabidopsis thaliana,37,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.64,Pseudomonas syringae,Z-SCI,9,41,54,Arabidopsis thaliana,37,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,Duplicate Box 51+52?,
RM_P.65,Pseudomonas syringae,Z-SCI,9,41,55,Arabidopsis thaliana,39,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,Duplicate Box 52?,
RM_P.66,Pseudomonas syringae,Z-SCI,9,41,56,Arabidopsis thaliana,39,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,Duplicate Box 52?,
RM_P.67,Pseudomonas viridiflava,Z-SCI,9,41,57,Arabidopsis thaliana,40,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.68,Pseudomonas viridiflava,Z-SCI,9,41,58,Arabidopsis thaliana,40,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.69,,Z-SCI,9,41,59,Arabidopsis thaliana,41,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.70,,Z-SCI,9,41,60,Arabidopsis thaliana,44,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.71,,Z-SCI,9,41,61,Arabidopsis thaliana,48,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.72,,Z-SCI,9,41,62,Arabidopsis thaliana,48,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.73,,Z-SCI,9,41,63,Arabidopsis thaliana,49,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.74,,Z-SCI,9,41,64,Arabidopsis thaliana,49,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.75,,Z-SCI,9,41,65,Arabidopsis thaliana,19,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.76,,Z-SCI,9,41,66,Arabidopsis thaliana,19,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.77,,Z-SCI,9,41,67,Arabidopsis thaliana,20,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.78,,Z-SCI,9,41,68,Arabidopsis thaliana,20,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.79,,Z-SCI,9,41,69,Arabidopsis thaliana,26,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.80,,Z-SCI,9,41,70,Arabidopsis thaliana,26,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.81,,Z-SCI,9,41,71,Arabidopsis thaliana,47,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.82,,Z-SCI,9,41,72,Arabidopsis thaliana,16,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.83,,Z-SCI,9,41,73,Arabidopsis thaliana,16,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,Duplicate Box 52?,
RM_P.84,,Z-SCI,9,41,74,Arabidopsis thaliana,16,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
RM_P.85,,Z-SCI,9,41,75,Arabidopsis thaliana,16,,Route Marker,"41°21'17.41""N","86°44'14.47""W",Luke Barrett,4/14/08,W,,
