population,latitude,longitude,Elevation,MAT,MCMT,PPT_wt,PPT_sp,PPT_sm,PPT_at,Nitrogen,CN,pH,Phosphore,Calcium,Magnesium,Sodium,Potassium,Iron,Aluminium,WHC,OC,SOM,Manganese,leaf_Otu0000001,leaf_Otu0000002,leaf_Otu0000003,leaf_Otu0000004,leaf_Otu0000005,leaf_Otu0000006,leaf_Otu0000008,leaf_Otu0000009,leaf_Otu0000010,leaf_Otu0000011,leaf_Otu0000012,leaf_Otu0000013,leaf_Otu0000014,leaf_Otu0000015,leaf_Otu0000016,leaf_Otu0000017,leaf_Otu0000018,leaf_Otu0000022,leaf_Otu0000023,leaf_Otu0000025,leaf_Otu0000027,leaf_Otu0000028,leaf_Otu0000029,leaf_Otu0000030,leaf_Otu0000031,leaf_Otu0000032,leaf_Otu0000033,leaf_Otu0000034,leaf_Otu0000035,leaf_Otu0000036,leaf_Otu0000037,leaf_Otu0000038,leaf_Otu0000042,leaf_Otu0000044,leaf_Otu0000051,leaf_Otu0000052,leaf_Otu0000057,leaf_Otu0000058,leaf_Otu0000063,leaf_Otu0000066,leaf_Otu0000067,leaf_Otu0000068,leaf_Otu0000070,leaf_Otu0000073,leaf_Otu0000074,leaf_Otu0000077,leaf_Otu0000078,leaf_Otu0000084,leaf_Otu0000089,leaf_Otu0000093,leaf_Otu0000094,leaf_Otu0000096,leaf_Otu0000100,leaf_Otu0000101,leaf_Otu0000109,leaf_Otu0000115,leaf_Otu0000116,leaf_Otu0000117,leaf_Otu0000120,leaf_Otu0000137,leaf_Otu0000152,leaf_Otu0000157,leaf_Otu0000179,leaf_Otu0000246,leaf_Otu0000365,root_Otu0000001,root_Otu0000002,root_Otu0000003,root_Otu0000004,root_Otu0000005,root_Otu0000006,root_Otu0000007,root_Otu0000009,root_Otu0000011,root_Otu0000016,root_Otu0000017,root_Otu0000019,root_Otu0000020,root_Otu0000021,root_Otu0000024,root_Otu0000026,root_Otu0000028,root_Otu0000030,root_Otu0000041,root_Otu0000046,root_Otu0000049,root_Otu0000050,root_Otu0000051,root_Otu0000058,root_Otu0000063,root_Otu0000064,root_Otu0000070,root_Otu0000075,root_Otu0000076,root_Otu0000100,root_Otu0000102,root_Otu0000114,root_Otu0000121,root_Otu0000122,root_Otu0000144,root_Otu0000146,root_Otu0000156,root_Otu0000163,root_Otu0000174,root_Otu0000199,root_Otu0000238,root_Otu0000258,root_Otu0000284,root_Otu0000989,richness_microbiota_leaf,Shannon_microbiota_leaf,PCOA1_microbiota_leaf,PCOA2_microbiota_leaf,richness_pathobiota_leaf,Shannon_pathobiota_leaf,PCOA1_pathobiota_leaf,PCOA2_pathobiota_leaf,richness_microbiota_root,Shannon_microbiota_root,PCOA1_microbiota_root,PCOA2_microbiota_root,richness_pathobiota_root,Shannon_pathobiota_root,PCOA2_pathobiota_root,plant_OTU1,plant_OTU3,plant_OTU4,plant_OTU7,plant_OTU8,plant_OTU10,plant_OTU15,plant_OTU16,plant_OTU18,plant_OTU20,plant_OTU27,plant_OTU46,plant_OTU49,plant_OTU65,plant_OTU67,plant_OTU71,plant_OTU72,plant_OTU78,plant_OTU83,plant_OTU87,plant_OTU88,plant_OTU100,plant_OTU109,plant_OTU113,plant_OTU114,plant_OTU132,plant_OTU136,plant_OTU143,plant_OTU145,plant_OTU146,plant_OTU147,plant_OTU149,plant_OTU154,plant_OTU159,plant_OTU179,plant_OTU192,plant_OTU196,plant_OTU198,plant_OTU202,plant_OTU203,plant_OTU204,plant_OTU216,plant_OTU223,plant_OTU234,plant_richness,plant_Shannon,plant_pcoa1,plant_pcoa2,plant_pcoa3
JUZET-B,42.977354,0.755498,576,9.37,-0.27,127.91,84.00,110.55,215.00,3.635,17.900,7.540,0.125,11.300,0.927,0.023,0.491,0.015,0.084,0.506,70.300,121.850,0.015,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,9.146760158,1.877905138,0.1644649338,-0.05187974541,2.54076673,0.6319572654,0.2038368939,-0.04531772599,6.783671429,1.054814573,0.1221121571,-0.1479071377,2.080114634,0.6878419543,0.1950086589,5,0,0,0,0,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,9,0,7,0,0,7,0,2,0,0,0,0,15,1.965675582,-0.02859,-0.191,0.01803
JUZET-C,42.977354,0.755498,576,9.37,-0.27,127.91,84.00,110.55,215.00,6.535,18.350,7.270,0.221,15.500,1.930,0.047,0.922,0.038,0.192,0.369,120.000,207.500,0.052,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.89056016,2.084175138,0.1606649338,-0.04545974541,2.92768673,0.7685572654,0.1270368939,0.007592274007,8.271771429,1.527814573,0.1337321571,-0.1130371377,.,.,.,1,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,4,33,0,0,0,6,11,0,0,0,0,0,0,12,1.586075582,0.06915,-0.1118,0.1018
LABA-A,43.451550,1.400498,165,10.71,0.19,108.55,70.45,80.00,162.73,2.700,16.600,7.300,0.095,12.807,1.296,0.053,0.587,0.004,0.038,0.334,44.800,77.600,0.013,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.39296016,2.149505138,0.2164549338,-0.1125597454,4.26048673,0.8504572654,0.2767368939,-0.07717772599,10.22457143,2.019434573,0.1362221571,-0.3271671377,2.083414634,0.5678219543,0.2047386589,2,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,39,0,1,0,0,0,1,0,0,0,0,28,0,0,1,0,36,0,11,0,1,0,0,16,1.594775582,0.04374,-0.2008,-0.07162
LABA-B,43.450892,1.401160,165,10.71,0.19,108.55,70.45,80.00,162.64,1.775,11.050,7.640,0.218,12.900,1.300,0.125,1.485,0.006,0.033,0.481,19.650,33.950,0.005,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13.16106016,2.322605138,0.2296549338,-0.1679597454,3.50738673,0.7872572654,0.2453368939,-0.02077772599,11.94987143,2.241114573,0.2120321571,-0.2193671377,1.873534634,0.5196119543,0.2015386589,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
LABA-C,43.451451,1.399350,165,10.71,0.19,108.55,70.45,80.00,162.82,1.940,20.250,7.880,0.154,17.450,1.345,0.044,0.726,0.000,0.012,0.381,39.450,68.150,0.006,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.53056016,2.164405138,0.4669549338,0.07144025459,3.97578673,0.5124972654,0.1827868939,-0.193337726,10.19627143,2.016494573,0.1123221571,-0.3188671377,2.486314634,0.8107419543,0.2231586589,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,65,7,0,0,0,0,0,6,1.050475582,-0.00946,-0.02056,0.1815
LABA-D,43.458019,1.381137,172,10.68,0.18,108.55,70.36,80.64,162.73,2.750,11.700,7.155,0.152,13.750,1.960,0.119,0.398,0.005,0.040,0.330,32.250,55.800,0.016,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,7,0,0,0,79,0,26,0,0,0,0,3,0,0,0,0,0,4,48,37,287,0,0,0,0,0,0,0,0,0,61,0,0,7,0,0,0,16,1.718875582,0.1172,0.2161,-0.2127
LABAS-A,43.008440,1.420039,397,10.28,0.14,108.64,79.55,102.73,181.00,2.290,9.640,7.920,0.035,14.850,0.924,0.035,0.192,0.003,0.020,0.418,22.050,38.200,0.000,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.17996016,1.702605138,-0.2876450662,0.2432402546,2.15808673,0.4346672654,0.2705368939,-0.165337726,10.80727143,1.914424573,-0.1295678429,0.2689328623,1.880444634,0.4409119543,-0.004241341082,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
LABAS-B,43.008716,1.420053,396,10.29,0.15,108.64,79.55,102.73,181.00,0.572,11.400,8.400,0.029,6.200,0.177,0.031,0.117,0.006,0.034,0.143,6.540,11.350,0.000,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,11.24276016,2.033855138,0.3278549338,0.08731025459,2.56245673,0.6462572654,0.1671568939,-0.07328772599,10.98227143,1.916724573,0.4151321571,0.1694328623,1.981864634,0.4705899543,-0.009541341082,0,0,0,3,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,6,0,0,0,0,0,4,0.553375582,-0.2983,0.1058,0.08596
LABR-A,43.531185,2.262591,206,10.63,0.14,140.18,82.45,82.73,177.82,2.660,11.700,7.370,0.034,13.700,2.090,0.041,0.361,0.006,0.047,0.316,31.300,54.100,0.000,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,11.33256016,2.196905138,0.2890549338,0.04626025459,2.56659673,0.4927672654,-0.09566310606,-0.143057726,10.58097143,1.997264573,0.2845321571,0.01872286225,1.846714634,0.4068319543,-0.01764134108,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
LACR-A,42.999869,1.075659,497,9.67,-0.46,111.73,78.64,104.45,190.09,7.135,13.400,7.620,0.140,35.200,2.005,0.071,1.101,0.009,0.041,0.625,98.850,171.100,0.004,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,9.339860158,1.814205138,0.1680349338,-0.01232974541,2.61286673,0.5622572654,0.01718689394,-0.04455772599,9.161771429,1.879714573,0.1408721571,-0.03869713775,2.064514634,0.5661719543,0.04606865892,1,0,0,75,0,0,1,0,0,0,4,0,0,0,8,26,0,0,0,2,0,0,0,29,0,0,0,0,0,0,0,0,4,0,0,0,0,58,0,0,0,21,0,0,13,1.436185582,0.09204,-0.1413,0.06399
LACR-C,43.000155,1.075624,493,9.68,-0.44,111.73,78.55,104.27,190.09,4.600,10.850,8.135,0.100,22.200,0.931,0.105,0.979,0.004,0.026,0.376,49.750,86.100,0.000,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.10256016,2.376105138,0.1920149338,-0.02518974541,2.80978673,0.5501472654,0.2026368939,-0.08174772599,11.20427143,2.067714573,0.1426321571,-0.01199713775,1.903474634,0.4360219543,0.2426386589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,20,8,0,0,1,0,0,6,1.045775582,-0.1135,0.05594,-0.03534
LAGR-A,43.795323,1.073752,264,10.06,-0.32,124.82,73.82,88.64,171.00,2.200,10.900,6.215,0.043,10.895,2.310,0.059,0.333,0.006,0.061,0.513,24.000,41.550,0.044,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.66906016,2.298805138,0.2952549338,-0.01763974541,2.41028673,0.5641072654,0.1889368939,-0.117617726,9.856571429,1.969044573,0.2875321571,-0.03969713775,1.804014634,0.3871619543,0.1277686589,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
LAMA-A,43.487424,1.243559,182,10.60,0.12,109.27,71.09,82.91,164.27,1.735,11.750,7.350,0.139,12.725,1.403,0.046,0.619,0.005,0.040,0.292,20.250,35.000,0.003,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,9.525060158,1.664305138,-0.2325450662,0.3031402546,2.92088673,0.3549572654,0.2013368939,-0.06515772599,9.452771429,1.554214573,-0.3086678429,0.2051328623,.,.,.,0,0,0,0,0,0,0,0,4,3,0,0,0,0,82,0,0,0,0,19,0,5,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,63,3,0,0,0,0,0,8,1.068975582,-0.2192,-0.1876,-0.02773
LAMA-B,43.479745,1.241592,182,10.61,0.12,109.45,71.09,82.91,164.55,1.645,11.550,7.370,0.154,11.935,1.623,0.047,0.804,0.008,0.051,0.376,18.750,32.450,0.006,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.870660158,1.500005138,-0.3699450662,0.2090402546,1.99788673,0.3925572654,0.2432368939,-0.175437726,7.885371429,0.9424145733,-0.4625678429,0.2422328623,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
LANT-B,43.564943,1.652390,246,10.35,-0.14,123.27,73.00,81.36,170.00,8.745,16.600,7.045,0.304,34.750,6.215,0.277,0.842,0.008,0.016,0.657,146.500,253.000,0.011,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,11.39634516,2.185105138,0.4188549338,0.1470402546,2.92158673,0.6313572654,0.2491368939,-0.09327772599,9.059071429,1.840574573,0.4142321571,0.09583286225,1.818814634,0.4222319543,-0.08484134108,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,32,0,0,88,0,0,31,0,0,0,0,0,0,75,0,0,0,0,0,0,10,1.298975582,0.03457,0.1184,-0.01371
LANT-C,43.564822,1.652010,246,10.35,-0.14,123.18,73.00,81.36,170.00,1.555,11.950,7.985,0.157,12.300,4.585,0.033,0.973,0.005,0.031,0.262,18.500,32.050,0.004,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.50566016,2.014625138,-0.1156450662,-0.4413597454,3.38548673,0.5435972654,0.2671368939,-0.06280772599,10.05927143,2.057314573,-0.1446678429,-0.4294671377,2.803414634,0.6942419543,0.1681586589,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,405,0,6,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,73,0,1,0,0,0,0,10,1.192775582,-0.1773,-0.2963,-0.02102
LANT-D,43.564822,1.652010,246,10.35,-0.14,123.18,73.00,81.36,170.00,2.380,14.150,7.840,0.088,8.845,1.970,0.015,0.401,0.008,0.028,0.560,33.250,57.500,0.000,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,11.16926016,2.123975138,-0.1447450662,-0.4917597454,2.78188673,0.5226672654,0.1033768939,0.03621227401,10.96607143,2.154714573,-0.1277678429,-0.4395671377,2.147914634,0.5683419543,0.3032586589,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,14,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,709,8,0,0,0,0,0,8,1.045175582,-0.1334,-0.1191,0.1389
LAUZ-A,44.256080,1.140526,176,10.27,-0.17,136.64,72.55,97.00,178.09,2.327,13.300,7.915,0.081,13.055,1.410,0.026,0.368,0.000,0.000,0.255,31.840,55.100,0.000,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,14.70076016,2.271405138,0.3110549338,0.06615025459,2.39558673,0.3330572654,0.06400689394,-0.02107772599,10.88207143,2.037314573,0.3395321571,0.1270328623,1.966556634,0.5106219543,0.2139386589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,98,0,0,12,0,11,2,0,0,2,0,0,9,1.195375582,-0.1521,-0.18,0.03602
LECT-A,43.911721,0.629745,85,10.64,0.19,131.27,68.64,89.91,173.73,3.610,12.500,7.740,0.121,16.650,0.895,0.039,0.596,0.007,0.038,0.425,46.350,80.150,0.003,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.685660158,1.228505138,-0.3962450662,0.2188402546,2.17028673,0.4464672654,-0.1064631061,-0.185837726,8.845271429,1.205914573,-0.3863678429,0.2484328623,1.588614634,0.2743419543,-0.05054134108,0,0,0,0,0,0,0,7,0,0,8,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,34,0,0,60,0,0,0,0,0,0,8,1.614175582,-0.1589,-0.1344,0.02565
LECT-B,43.911721,0.629745,85,10.64,0.19,131.27,68.64,89.91,173.73,7.015,21.650,7.630,0.093,12.650,0.582,0.052,0.535,0.004,0.038,0.275,151.800,263.250,0.007,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,10.05516016,1.569205138,-0.3251450662,0.2587402546,1.94258673,0.2970572654,0.1493968939,-0.01164772599,9.977271429,1.486014573,-0.3283678429,0.2327328623,1.611214634,0.2869419543,0.01995865892,1,0,0,0,0,0,1,25,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,12,0,0,7,0,0,0,0,0,0,12,1.631475582,0.01218,-0.07557,0.1314
LESP-A,43.094237,1.719981,290,10.57,0.18,112.00,76.09,87.00,171.27,1.950,16.750,7.790,0.218,17.600,1.400,0.028,0.864,0.000,0.014,0.532,29.350,50.800,0.000,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.86136016,2.193805138,0.2124249338,-0.04134974541,2.34278673,0.4390972654,0.05255689394,-0.01677772599,10.92987143,2.223614573,0.1378921571,-0.1300571377,2.094214634,0.5520319543,0.09346865892,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,38,0,0,0,0,0,4,1.038175582,-0.2238,0.1078,0.1246
LOUB-A,43.574273,1.786038,220,10.46,-0.07,128.64,72.00,79.09,172.64,1.362,16.350,7.735,0.144,11.300,0.757,0.112,1.066,0.000,0.011,0.379,20.700,35.800,0.000,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18646016,2.336405138,0.09881493384,-0.2275597454,2.45638673,0.6879572654,0.08749989394,-0.01281772599,11.95987143,2.284914573,0.1318221571,-0.2641671377,2.422814634,0.7004419543,0.3029586589,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,28,0,0,0,0,0,0,3,0.942775582,-0.1608,0.04466,0.03776
LOUB-B,43.574647,1.785723,217,10.48,-0.07,128.55,72.00,79.00,172.55,2.020,11.500,8.240,0.103,18.050,1.475,0.118,1.780,0.005,0.034,0.386,23.050,39.850,0.000,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.912160158,1.988305138,-0.1719450662,-0.4842597454,3.24968673,0.9053572654,-0.002483106059,0.09846227401,9.719971429,2.027214573,-0.1617678429,-0.5023671377,2.562914634,0.7178419543,0.1615086589,0,0,0,0,0,0,0,0,6,0,0,10,0,0,0,41,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,8,1.453695582,-0.03461,0.1597,-0.01153
